FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Lương Quỳnh Anh,Female,ATE,,ENFJ,"K-pop, Cooking, V-pop, Ballet",Video call,Study supporter,"Practical laboratory, Physics, Linear Algebra, Biology","Café, Bookstore, Home",Early Morning
Lưu Nguyễn Tiến Anh,Male,ICT,,ENFP,"V-pop, Painting, Karate",In-person (face-to-face),Share knowledge,Environment,"Library, Bookstore, Home",Midnight
Nghiêm Trọng Quốc Anh,Male,Pharmacy,,ISTP,"Politics, Study, Korean food, Volleyball",Video call,Chit Chatting,"Calculus, Biology","Bookstore, Library, Home",Overnight
Nguyễn Cao Việt Anh,Male,AMS,,ESTJ,Alcoholic,Video call,Share knowledge,"Artificial Intelligence, Electronic, Calculus, Physics, Health Care","Library, Bookstore, Home",Early Morning
Nguyễn Đức Anh,Male,ATE,,ESTP,"Swimming, DIY, Volleyball",Phone call,Share knowledge,"Artificial Intelligence, Programming, Linear Algebra","Café, Bookstore, Library",Midday
Nguyễn Hải Anh,Male,CH,,ISTP,"Dancing, DIY, Football, Painting, Vlogging",In-person (face-to-face),Study supporter,"Linear Algebra, Health Care, Calculus","Library, Home",Evening
Nguyễn Phan Hồng Anh,Male,SST,,INTP,"Table tennis, Travel, Taekwondo",Text message,Study supporter,"Environment, Linear Algebra, Practical laboratory, Biology","Online, Bookstore",Evening
Nguyễn Quốc Anh,Male,AMS,,ENFP,"Gym, Investment, Board games, Painting",Video call,Share knowledge,"Programming, Physics, Practical laboratory","Bookstore, Library, Home",Evening
Nguyễn Thế Anh,Male,FST,,ESTJ,Rap,In-person (face-to-face),Share knowledge,"Chemistry, Practical laboratory, Linear Algebra, Calculus, Electronic",Home,Early Morning
Nguyễn Thị Minh Anh,Female,EER,,INTJ,"Gym, Korean food, Basketball",Text message,Share knowledge,"Biology, Physics",Library,Midday
Nguyễn Tuấn Anh,Male,DS,,ENFP,"Politics, Movie",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Linear Algebra, Biology, Electronic, Health Care","Home, Library, Bookstore",Night
Nguyễn Xuân Anh,Male,AMS,,ESTP,"Cooking, Korean food, Makeup, Gym",Video call,Study supporter,"Artificial Intelligence, Biology, Practical laboratory","Library, Online",Overnight
Trương Duy Anh,Male,Pharmacy,,ISTJ,"Hiphop, EDM",Phone call,Chit Chatting,"Biology, Physics, Health Care, Linear Algebra","Bookstore, Home",Evening
Nguyễn Thiên Ân,Male,SST,,ESFP,"Vlogging, Painting, Investment, Karate",Phone call,Study supporter,"Biology, Environment",Bookstore,Night
Nguyễn Trọng Bách,Male,MAT,,INFJ,"Yoga, Investment, Food tour, Anime, Netflix",Text message,Study supporter,"Artificial Intelligence, Electronic, Practical laboratory, Biology, Programming","Library, Online, Home",Evening
Hoàng Gia Bảo,Male,CS,,INFJ,Gym,In-person (face-to-face),Chit Chatting,"Chemistry, Environment, Physics, Practical laboratory, Artificial Intelligence",Bookstore,Early Morning
Nguyễn Hoài Bảo,Male,FST,,INFP,"Yoga, Dancing, Investment, Volleyball, Board games",Video call,Study supporter,"Artificial Intelligence, Calculus, Environment","Bookstore, Online",Early Morning
Phạm Gia Bảo,Male,Pharmacy,,ESTJ,"Alcoholic, Yoga, Vlogging, Basketball, Rap",Phone call,Study supporter,"Health Care, Electronic",Online,Early Morning
Vũ Minh Châu,Female,MST,,ENFJ,"Alcoholic, Makeup, Baseball, Skiing, Anime",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Linear Algebra, Programming, Chemistry","Café, Home, Library",Early Morning
Nguyễn Khánh Chi,Female,EER,,INTP,"Rap, Basketball, Alcoholic, Politics, Bowling",Video call,Study supporter,"Calculus, Programming",Online,Evening
Bùi Thành Công,Male,MAT,,ENTP,"Korean food, Skiing, Food tour, Karate",In-person (face-to-face),Chit Chatting,"Programming, Environment, Biology, Electronic, Artificial Intelligence","Online, Bookstore",Midnight
Hoàng Trí Công,Male,MST,,ISFP,"Jogging, Coffee, Tea, Basketball, Hiphop",In-person (face-to-face),Chit Chatting,"Chemistry, Health Care","Home, Online",Midnight
Đoàn Minh Cường,Male,SIC,,ISFP,V-pop,Phone call,Chit Chatting,"Physics, Environment, Health Care, Electronic","Bookstore, Café, Online",Midday
Nguyễn Quốc Cường,Male,DS,,ISTJ,Skiing,In-person (face-to-face),Study supporter,"Calculus, Biology, Physics, Chemistry",Library,Early Morning
Hàn Ngọc Diệp,Female,Pharmacy,,ESFJ,"Taekwondo, Hiphop, singing, V-pop",Text message,Share knowledge,"Electronic, Practical laboratory, Artificial Intelligence, Physics, Calculus","Library, Home, Online",Midday
Doãn Trung Dũng,Male,SST,,ISFJ,"Skiing, Investment",Video call,Share knowledge,"Practical laboratory, Health Care, Calculus, Physics","Online, Café",Evening
Huỳnh Anh Dũng,Male,CH,,ISFP,"Food tour, Hiphop, Coffee, Tea",Video call,Chit Chatting,"Programming, Biology","Library, Online, Bookstore",Overnight
Nguyễn Duy Dũng,Male,MST,,INTJ,"Food tour, Yoga",Text message,Chit Chatting,"Health Care, Biology, Environment, Linear Algebra","Library, Bookstore, Home",Evening
Nguyễn Hoàng Dũng,Male,AES,,INFJ,Study,Video call,Study supporter,"Biology, Electronic, Programming, Practical laboratory","Café, Online, Bookstore",Early Morning
Nguyễn Tiến Dũng,Male,AMS,,INTJ,"Investment, Volleyball, Travel, Yoga, Taekwondo",Phone call,Study supporter,"Programming, Practical laboratory, Health Care, Physics","Bookstore, Online",Midnight
Nguyễn Tuấn Dũng,Male,Pharmacy,,ENFJ,"Vlogging, Football, EDM, Ballet",In-person (face-to-face),Study supporter,Chemistry,"Home, Café",Early Morning
Phạm Hiếu Dũng,Male,DS,,ESTJ,"Hiphop, Board games",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Electronic, Environment",Café,Evening
Phùng Đỗ Việt Dũng,Male,CH,,INTP,Jogging,Text message,Chit Chatting,"Environment, Artificial Intelligence","Home, Bookstore",Midday
Trịnh Quang Dũng,Male,ICT,,ISFP,"K-pop, Cooking, Study",Phone call,Share knowledge,"Linear Algebra, Programming",Online,Overnight
Trương Ngọc Dũng,Male,CS,,ISTJ,Food tour,Video call,Share knowledge,Environment,Café,Night
Võ Đức Dũng,Male,ICT,,ESFP,"V-pop, Skateboarding, K-pop, Art",Text message,Study supporter,"Calculus, Chemistry","Café, Home",Evening
Lê Đắc Duy,Male,MST,,ESFP,"Football, Study",In-person (face-to-face),Share knowledge,Electronic,"Bookstore, Home",Midday
Ngô Hoàng Khánh Duy,Male,DS,,ENFP,"Politics, Dancing, Rap, Karate",Text message,Chit Chatting,"Chemistry, Physics, Biology, Electronic",Café,Early Morning
Nguyễn Đức Duy,Male,EER,,ENFJ,"Netflix, EDM, Basketball",Video call,Share knowledge,Linear Algebra,Home,Midnight
Bùi Lê Ánh Dương,Female,CS,,ESFJ,"Korean food, Skateboarding, Football, Travel",In-person (face-to-face),Chit Chatting,"Programming, Biology, Artificial Intelligence",Home,Overnight
Bùi Quang Dương,Male,MST,,ISFJ,"Bowling, K-pop, Ballet",Video call,Study supporter,"Environment, Programming, Health Care, Physics, Linear Algebra",Library,Midday
Hứa Thái Dương,Male,MAT,,INFP,"Skateboarding, K-pop",In-person (face-to-face),Share knowledge,"Programming, Practical laboratory, Artificial Intelligence, Linear Algebra",Café,Evening
Nguyễn Ngọc Tùng Dương,Male,AES,,ENTP,"Korean food, Rap",Text message,Study supporter,Calculus,"Café, Online, Library",Midnight
Nguyễn Thế Ánh Dương,Male,SST,,ISTP,Alcoholic,Phone call,Chit Chatting,"Calculus, Programming, Linear Algebra, Practical laboratory, Artificial Intelligence","Online, Bookstore, Café",Midnight
Nguyễn Tùng Dương,Male,SST,,INFJ,"Alcoholic, Football, Yoga, Skiing",Text message,Share knowledge,"Chemistry, Health Care, Electronic, Biology, Calculus",Café,Night
Nguyễn Tùng Dương,Male,EER,,ENTJ,"V-pop, Badminton, Karate",Phone call,Share knowledge,"Biology, Health Care",Library,Evening
Phạm Đình Ánh Dương,Male,SIC,,ESTP,"Food tour, Volleyball, Board games, DIY",Phone call,Chit Chatting,"Physics, Practical laboratory, Electronic, Chemistry, Environment","Café, Bookstore",Early Morning
Trần Minh Dương,Male,SST,,ENTJ,Baseball,In-person (face-to-face),Share knowledge,"Practical laboratory, Artificial Intelligence, Physics","Café, Bookstore",Evening
Bùi Ngọc Đạt,Male,SIC,,ENFJ,"singing, Korean food",Video call,Study supporter,"Chemistry, Calculus, Environment",Bookstore,Midnight
Hoàng Thành Đạt,Male,EER,,ISTJ,"Anime, Baseball, Investment, Food tour, Basketball",Text message,Study supporter,"Calculus, Physics, Electronic, Linear Algebra, Practical laboratory","Café, Online, Bookstore",Overnight
Lê Hoàng Đạt,Male,MAT,,ISTJ,Rap,Text message,Share knowledge,"Electronic, Chemistry, Linear Algebra",Café,Midnight
Lê Quang Đạt,Male,Pharmacy,,ESTP,"Painting, Rap, V-pop, Badminton, Dancing",Video call,Share knowledge,"Physics, Practical laboratory",Café,Overnight
Nguyễn Cao Hoàng Đạt,Male,AMS,,ISFP,"singing, Study",Text message,Share knowledge,"Chemistry, Environment","Library, Online",Overnight
Nguyễn Duy Đạt,Male,CS,,INFP,"Alcoholic, Food tour, Politics, Cooking, Study",In-person (face-to-face),Study supporter,"Programming, Electronic, Linear Algebra, Artificial Intelligence, Chemistry","Café, Home, Bookstore",Night
Nguyễn Tài Tiến Đạt,Male,Pharmacy,,ENTJ,"Travel, Painting",Phone call,Study supporter,"Calculus, Artificial Intelligence, Chemistry","Library, Home",Midnight
Nguyễn Thành Đạt,Male,EER,,INFP,"Vlogging, K-pop",In-person (face-to-face),Chit Chatting,"Health Care, Chemistry, Practical laboratory, Environment",Café,Midday
Đào Phú Hồng Đăng,Male,ICT,,ESFP,Table tennis,In-person (face-to-face),Chit Chatting,"Health Care, Calculus","Online, Café, Bookstore",Overnight
Nguyễn Thế Hải Đăng,Male,MAT,,INTP,Swimming,Phone call,Chit Chatting,"Health Care, Environment, Biology","Online, Home",Early Morning
Tăng Nguyễn Hải Đăng,Male,AES,,ENFJ,"singing, Study",Video call,Study supporter,"Programming, Health Care, Electronic, Chemistry, Calculus","Home, Library, Bookstore",Early Morning
Vũ Hải Đăng,Male,MST,,INFP,"K-pop, Travel, Baseball, Alcoholic",Phone call,Chit Chatting,"Chemistry, Practical laboratory, Artificial Intelligence, Biology, Linear Algebra",Home,Evening
Nguyễn Khải Điệp,Male,CH,,ENFP,Skateboarding,Text message,Study supporter,"Programming, Physics","Bookstore, Café, Library",Midnight
Bùi Minh Đức,Male,ICT,,ISFP,"Skiing, K-pop",Phone call,Chit Chatting,"Electronic, Practical laboratory, Chemistry, Calculus, Physics","Home, Library",Night
Dương Minh Đức,Male,EER,,ENTP,"Investment, Ballet",Video call,Share knowledge,Linear Algebra,Café,Night
Đỗ Hữu Đức,Male,Pharmacy,,ESFP,Anime,Text message,Chit Chatting,"Biology, Calculus","Bookstore, Café",Early Morning
Đào Anh Đức,Male,ICT,,INFJ,"singing, Rap, Food tour, V-pop",Text message,Study supporter,"Physics, Artificial Intelligence, Health Care, Practical laboratory","Online, Bookstore, Home",Night
Hoàng Lê Anh Đức,Male,AE,,ISFP,"Yoga, Baseball, Makeup, Gym, Politics",Video call,Share knowledge,"Calculus, Artificial Intelligence, Programming, Environment, Biology","Café, Online",Midday
Nguyễn Hữu Minh Đức,Male,EER,,INTJ,"DIY, Bowling, Jogging, Table tennis, Skiing",In-person (face-to-face),Chit Chatting,"Calculus, Practical laboratory, Biology, Health Care","Library, Online, Home",Night
Nguyễn Minh Đức,Male,Pharmacy,,ENFJ,"Study, Basketball",Phone call,Chit Chatting,Health Care,"Café, Library, Bookstore",Evening
Nguyễn Minh Đức,Male,MAT,,ENFJ,"Politics, Investment, Board games, Alcoholic",Phone call,Share knowledge,"Artificial Intelligence, Environment","Library, Home, Online",Midday
Nguyễn Minh Đức,Male,AMS,,ENTJ,"Hiphop, Table tennis, Baseball, Jogging, Investment",Video call,Share knowledge,Environment,Home,Early Morning
Nguyễn Minh Đức,Male,MAT,,ESTJ,"Cooking, Taekwondo, DIY",Video call,Share knowledge,"Electronic, Biology, Physics, Calculus",Home,Midday
Nguyễn Mạnh Đức,Male,FST,,ENTJ,V-pop,Video call,Chit Chatting,"Biology, Health Care, Practical laboratory, Chemistry, Programming","Online, Bookstore",Early Morning
Nguyễn Phúc Đức,Male,AE,,ENFJ,"Vlogging, Football, Baseball",In-person (face-to-face),Share knowledge,"Chemistry, Environment, Physics, Linear Algebra","Library, Home",Early Morning
Nguyễn Xuân Đức,Male,AMS,,ENTP,"Makeup, singing",Text message,Study supporter,"Linear Algebra, Electronic, Biology",Home,Overnight
Vi Vũ Trí Đức,Male,MAT,,ENFP,"Movie, Gym, Makeup, Art, EDM",Text message,Study supporter,"Electronic, Linear Algebra",Online,Evening
Hoàng Đức Giang,Male,MAT,,ESTJ,"Rap, Study, V-pop, Ballet, Politics",Text message,Share knowledge,"Environment, Physics, Artificial Intelligence, Biology, Calculus","Home, Bookstore",Evening
Lê Trường Giang,Male,FST,,INTJ,"Taekwondo, Board games",Text message,Study supporter,"Health Care, Programming",Café,Overnight
Lê Tùng Giang,Male,SST,,ENFJ,"Investment, Jogging",Phone call,Study supporter,Linear Algebra,"Home, Online, Library",Night
Trần Trường Giang,Male,EER,,INFP,"Study, Board games, Jogging, Baseball, Gym",Phone call,Study supporter,Biology,"Library, Bookstore",Night
Phạm Ngân Hà,Female,ATE,,ENTJ,"Gym, Karate, Food tour",Text message,Study supporter,Calculus,"Café, Bookstore, Library",Evening
Nguyễn Thanh Hải,Male,FST,,INTJ,"Baseball, V-pop, Table tennis",In-person (face-to-face),Share knowledge,"Practical laboratory, Calculus, Linear Algebra",Online,Night
Trần Công Hải,Male,MST,,ISTP,"Alcoholic, Swimming",Phone call,Chit Chatting,"Biology, Calculus, Environment","Online, Home, Café",Evening
Trần Mạnh Hải,Male,ATE,,ISFJ,"Makeup, Baseball, Yoga, Food tour",Video call,Study supporter,"Biology, Physics",Home,Night
Lê Sỹ Hân,Male,DS,,INTP,"Art, Yoga, Skateboarding, Swimming",Text message,Share knowledge,"Health Care, Environment",Bookstore,Night
Lê Thu Hiền,Female,MAT,,ESFJ,"Basketball, singing, Jogging",Phone call,Share knowledge,"Physics, Environment, Electronic, Chemistry","Bookstore, Café",Midnight
Nguyễn Trung Hiền,Male,SST,,ISTP,Makeup,Video call,Study supporter,"Electronic, Environment, Artificial Intelligence, Practical laboratory",Bookstore,Overnight
Nguyễn Minh Hiển,Male,AMS,,ENFP,"Skiing, Korean food",Text message,Chit Chatting,"Health Care, Environment, Chemistry",Library,Midday
Đặng Thế Hiệp,Male,SIC,,INTJ,"Bowling, Skateboarding, Vlogging, Cooking",Video call,Share knowledge,"Linear Algebra, Physics, Calculus, Programming","Library, Online",Overnight
Ngô Chấn Hiệp,Male,FST,,INTP,"Rap, Baseball",In-person (face-to-face),Study supporter,"Environment, Calculus, Linear Algebra, Biology, Programming","Bookstore, Online, Library",Overnight
Bùi Mạnh Hiếu,Male,AMS,,ESTP,"Skateboarding, Movie, Travel, Yoga",Video call,Study supporter,"Chemistry, Artificial Intelligence, Biology, Electronic, Health Care",Library,Night
Đỗ Minh Hiếu,Male,ATE,,ISFP,"Art, Swimming, Ballet, Board games",Text message,Study supporter,Environment,"Home, Bookstore",Overnight
Đào Minh Hiếu,Male,MAT,,ENTJ,"Bowling, Hiphop",In-person (face-to-face),Chit Chatting,Biology,"Home, Café, Online",Midnight
Đào Trung Hiếu,Male,CH,,ENTJ,"Coffee, Tea, Dancing, Painting",Text message,Share knowledge,"Electronic, Biology","Library, Café, Home",Midnight
Đào Xuân Hiếu,Male,BIT,,ENFP,Anime,Phone call,Share knowledge,"Calculus, Environment, Health Care, Practical laboratory, Artificial Intelligence","Café, Home, Online",Night
Lưu Trần Minh Hiếu,Male,AMS,,ISFP,"Movie, Skiing, Gym, Makeup",In-person (face-to-face),Share knowledge,"Electronic, Biology, Programming, Chemistry","Library, Home",Midday
Nguyễn Minh Hiếu,Male,MST,,ESFJ,Travel,Phone call,Study supporter,Physics,Library,Evening
Nguyễn Ngọc Minh Hiếu,Male,BIT,,ISFP,"Hiphop, Food tour, Dancing",Video call,Share knowledge,"Calculus, Artificial Intelligence","Online, Library, Bookstore",Early Morning
Nguyễn Xuân Hiếu,Male,CS,,ENFJ,Badminton,Phone call,Share knowledge,Calculus,Library,Midnight
Bùi Việt Hoàng,Male,MST,,INTP,Food tour,Phone call,Study supporter,"Electronic, Biology, Physics, Calculus, Artificial Intelligence","Home, Library",Early Morning
Cầm Duy Hoàng,Male,ICT,,ISTP,"Hiphop, Vlogging, Rap, Ballet, Food tour",Video call,Share knowledge,"Calculus, Electronic, Linear Algebra, Biology","Online, Bookstore",Early Morning
Đặng Việt Hoàng,Male,SIC,,INFJ,"Netflix, Skiing, Politics, Coffee, Tea",Text message,Study supporter,Electronic,Bookstore,Midday
Lê Huy Hoàng,Male,ICT,,ENFP,Badminton,Text message,Study supporter,"Programming, Practical laboratory",Online,Night
Lê Việt Hoàng,Male,BIT,,ENFP,K-pop,Phone call,Chit Chatting,"Programming, Linear Algebra, Practical laboratory","Online, Bookstore",Evening
Lưu Minh Hoàng,Male,ICT,,ISFP,"Cooking, Karate, Yoga, Volleyball, Swimming",Text message,Chit Chatting,Health Care,"Home, Library, Café",Midnight
Ngô Việt Hoàng,Male,AE,,INFP,"Rap, singing, Travel, Skiing",Phone call,Chit Chatting,"Calculus, Artificial Intelligence, Physics, Chemistry, Electronic","Bookstore, Library",Early Morning
Nguyễn Đăng Hoàng,Male,AES,,ENFJ,Skiing,Video call,Share knowledge,"Artificial Intelligence, Health Care, Calculus, Chemistry, Electronic","Library, Home, Bookstore",Midday
Nguyễn Văn Hoàng,Male,MAT,,ENTP,"Yoga, Dancing, Baseball, Study",In-person (face-to-face),Study supporter,"Linear Algebra, Artificial Intelligence, Health Care, Calculus, Electronic","Home, Online, Bookstore",Early Morning
Nguyễn Việt Hoàng,Male,MAT,,ESTJ,Yoga,In-person (face-to-face),Study supporter,"Calculus, Health Care, Electronic, Programming, Environment","Online, Home, Café",Early Morning
Phan Duy Hoàng,Male,SIC,,ISTJ,"Netflix, Anime, Gym, Football, Board games",Phone call,Chit Chatting,Biology,"Library, Online, Bookstore",Overnight
Trương Tuấn Hoàng,Male,MST,,ENFP,"Table tennis, Art, Alcoholic, Swimming, Cooking",Video call,Share knowledge,"Chemistry, Calculus, Practical laboratory, Artificial Intelligence, Physics",Bookstore,Overnight
